id	grade1	grade2	grade3
60071	9	4	7
83427	9	2	6
25152	10	2	5
83542	9	3	10
65716	10	4	5
25357	9	10	9
84452	10	7	10
53666	9	10	6
30262	10	6	7
97264	9	8	7
37997	9	5	10
80241	7	7	9
75791	7	3	8
81516	10	9	9
92511	7	7	8
18506	10	5	5
71242	9	10	8
88990	9	9	8
47331	7	8	5
14671	10	2	5
76573	8	3	5
17997	9	7	9
6999	9	3	6
53957	7	4	8
68520	7	6	6
65415	8	9	5
50540	7	9	6
80457	7	3	9
88654	10	5	6
29340	10	5	8
4027	7	5	9
84826	7	3	7
44335	10	8	7
19818	8	6	9
27211	9	4	5
43142	7	3	5
44718	8	4	7
29656	10	3	10
27576	10	9	5
38628	10	9	7
87558	10	5	9
31859	8	5	7
70010	8	7	9
98687	9	6	5
55454	9	9	10
80999	7	9	9
90081	10	2	9
22469	7	4	5
10045	10	7	6
40983	8	6	7
23374	9	4	8
60818	7	10	5
7558	10	8	9
80834	10	3	8
31138	8	6	8
67168	7	9	9
69002	8	6	5
165	9	10	6
30002	9	3	6
34789	8	10	10
97518	8	8	9
85830	9	3	5
81979	8	10	10
88748	8	7	6
98140	9	7	5
88422	9	5	10
2491	8	3	9
51763	10	10	8
